Command,Sensor Data,Experiment ID,timestamp
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B1'}","{'ch583': 7129, 'ch670': 7194, 'ch510': 4540, 'ch410': 608, 'ch620': 9439, 'ch470': 3010, 'ch550': 6197, 'ch440': 2673}",7561442f,11:56.8
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B2'}","{'ch583': 7327, 'ch670': 7458, 'ch510': 4707, 'ch410': 632, 'ch620': 9763, 'ch470': 3136, 'ch550': 6377, 'ch440': 2800}",7fd57daa,12:22.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B3'}","{'ch583': 7536, 'ch670': 7722, 'ch510': 4857, 'ch410': 653, 'ch620': 10098, 'ch470': 3240, 'ch550': 6571, 'ch440': 2891}",8fbbdda0,12:48.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B4'}","{'ch583': 7909, 'ch670': 8130, 'ch510': 5107, 'ch410': 689, 'ch620': 10616, 'ch470': 3407, 'ch550': 6907, 'ch440': 3047}",860f606d,13:14.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B5'}","{'ch583': 8282, 'ch670': 8528, 'ch510': 5348, 'ch410': 724, 'ch620': 11138, 'ch470': 3576, 'ch550': 7243, 'ch440': 3191}",906e307f,13:41.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B6'}","{'ch583': 8404, 'ch670': 8666, 'ch510': 5431, 'ch410': 738, 'ch620': 11313, 'ch470': 3639, 'ch550': 7355, 'ch440': 3255}",5619f78e,14:06.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B7'}","{'ch583': 8481, 'ch670': 8737, 'ch510': 5481, 'ch410': 745, 'ch620': 11409, 'ch470': 3672, 'ch550': 7424, 'ch440': 3289}",ae0dc920,14:32.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B8'}","{'ch583': 8561, 'ch670': 8804, 'ch510': 5527, 'ch410': 754, 'ch620': 11522, 'ch470': 3707, 'ch550': 7499, 'ch440': 3319}",b9271b09,14:59.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B9'}","{'ch583': 8739, 'ch670': 8953, 'ch510': 5628, 'ch410': 766, 'ch620': 11746, 'ch470': 3772, 'ch550': 7650, 'ch440': 3381}",c0817857,15:25.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B10'}","{'ch583': 8826, 'ch670': 9002, 'ch510': 5664, 'ch410': 771, 'ch620': 11833, 'ch470': 3793, 'ch550': 7725, 'ch440': 3393}",95ef99dc,15:51.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B11'}","{'ch583': 9069, 'ch670': 9177, 'ch510': 5789, 'ch410': 789, 'ch620': 12096, 'ch470': 3863, 'ch550': 7920, 'ch440': 3458}",d92b8cd8,16:17.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'B12'}","{'ch583': 9335, 'ch670': 9325, 'ch510': 5996, 'ch410': 819, 'ch620': 12384, 'ch470': 3988, 'ch550': 8152, 'ch440': 3565}",b31157c7,16:43.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C2'}","{'ch583': 7627, 'ch670': 7706, 'ch510': 4888, 'ch410': 657, 'ch620': 10134, 'ch470': 3247, 'ch550': 6626, 'ch440': 2921}",1f0c700b,17:36.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C3'}","{'ch583': 7882, 'ch670': 8002, 'ch510': 5066, 'ch410': 680, 'ch620': 10509, 'ch470': 3365, 'ch550': 6850, 'ch440': 3029}",ded55c1d,18:02.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C4'}","{'ch583': 8225, 'ch670': 8389, 'ch510': 5297, 'ch410': 714, 'ch620': 11001, 'ch470': 3524, 'ch550': 7159, 'ch440': 3173}",cb7b1166,18:28.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C5'}","{'ch583': 8664, 'ch670': 8836, 'ch510': 5582, 'ch410': 754, 'ch620': 11608, 'ch470': 3723, 'ch550': 7556, 'ch440': 3353}",bcab8503,18:54.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C6'}","{'ch583': 8809, 'ch670': 8983, 'ch510': 5680, 'ch410': 771, 'ch620': 11801, 'ch470': 3788, 'ch550': 7693, 'ch440': 3414}",837c2797,19:20.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C7'}","{'ch583': 8932, 'ch670': 9097, 'ch510': 5760, 'ch410': 783, 'ch620': 11969, 'ch470': 3841, 'ch550': 7804, 'ch440': 3473}",60b85b9a,19:46.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C8'}","{'ch583': 9052, 'ch670': 9199, 'ch510': 5833, 'ch410': 792, 'ch620': 12116, 'ch470': 3890, 'ch550': 7912, 'ch440': 3519}",0e169097,20:12.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C9'}","{'ch583': 9189, 'ch670': 9305, 'ch510': 5911, 'ch410': 804, 'ch620': 12285, 'ch470': 3943, 'ch550': 8029, 'ch440': 3567}",d4576e8d,20:38.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C10'}","{'ch583': 9407, 'ch670': 9464, 'ch510': 6024, 'ch410': 820, 'ch620': 12557, 'ch470': 4020, 'ch550': 8224, 'ch440': 3630}",1c5615e2,21:04.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C11'}","{'ch583': 9648, 'ch670': 9633, 'ch510': 6141, 'ch410': 838, 'ch620': 12825, 'ch470': 4084, 'ch550': 8414, 'ch440': 3687}",b2e63b2b,21:30.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'C12'}","{'ch583': 10108, 'ch670': 9956, 'ch510': 6388, 'ch410': 870, 'ch620': 13340, 'ch470': 4233, 'ch550': 8804, 'ch440': 3815}",ceba0b42,21:56.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D1'}","{'ch583': 7431, 'ch670': 7464, 'ch510': 4730, 'ch410': 635, 'ch620': 9823, 'ch470': 3130, 'ch550': 6439, 'ch440': 2803}",8.12E+96,22:22.7
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D2'}","{'ch583': 7561, 'ch670': 7656, 'ch510': 4852, 'ch410': 651, 'ch620': 10063, 'ch470': 3221, 'ch550': 6564, 'ch440': 2902}",ae9b1e76,22:48.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D3'}","{'ch583': 7782, 'ch670': 7934, 'ch510': 5009, 'ch410': 673, 'ch620': 10399, 'ch470': 3333, 'ch550': 6767, 'ch440': 2996}",8a60886f,23:15.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D4'}","{'ch583': 8142, 'ch670': 8320, 'ch510': 5250, 'ch410': 708, 'ch620': 10906, 'ch470': 3497, 'ch550': 7092, 'ch440': 3152}",7.25E+05,23:41.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D5'}","{'ch583': 8545, 'ch670': 8741, 'ch510': 5512, 'ch410': 746, 'ch620': 11464, 'ch470': 3674, 'ch550': 7453, 'ch440': 3309}",6754418,24:07.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D6'}","{'ch583': 8705, 'ch670': 8905, 'ch510': 5624, 'ch410': 759, 'ch620': 11698, 'ch470': 3751, 'ch550': 7605, 'ch440': 3387}",7d69ee51,24:33.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D7'}","{'ch583': 8836, 'ch670': 9015, 'ch510': 5706, 'ch410': 774, 'ch620': 11857, 'ch470': 3807, 'ch550': 7721, 'ch440': 3440}",4da9affc,24:59.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D8'}","{'ch583': 8952, 'ch670': 9116, 'ch510': 5778, 'ch410': 784, 'ch620': 12015, 'ch470': 3855, 'ch550': 7826, 'ch440': 3488}",504a5db3,25:25.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D9'}","{'ch583': 9081, 'ch670': 9206, 'ch510': 5848, 'ch410': 794, 'ch620': 12166, 'ch470': 3903, 'ch550': 7932, 'ch440': 3527}",58e52e7e,25:51.7
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D10'}","{'ch583': 9276, 'ch670': 9354, 'ch510': 5950, 'ch410': 811, 'ch620': 12399, 'ch470': 3971, 'ch550': 8111, 'ch440': 3585}",5bad1ebd,26:17.8
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D11'}","{'ch583': 9527, 'ch670': 9528, 'ch510': 6073, 'ch410': 826, 'ch620': 12681, 'ch470': 4038, 'ch550': 8320, 'ch440': 3645}",b94d5b60,26:43.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'D12'}","{'ch583': 10042, 'ch670': 9871, 'ch510': 6341, 'ch410': 863, 'ch620': 13240, 'ch470': 4200, 'ch550': 8749, 'ch440': 3789}",1ee6fb39,27:10.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E1'}","{'ch583': 7351, 'ch670': 7378, 'ch510': 4680, 'ch410': 629, 'ch620': 9716, 'ch470': 3098, 'ch550': 6373, 'ch440': 2776}",6c4cbb61,27:36.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E2'}","{'ch583': 7449, 'ch670': 7546, 'ch510': 4782, 'ch410': 644, 'ch620': 9916, 'ch470': 3178, 'ch550': 6472, 'ch440': 2860}",0eef03df,28:02.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E3'}","{'ch583': 7654, 'ch670': 7799, 'ch510': 4925, 'ch410': 664, 'ch620': 10227, 'ch470': 3275, 'ch550': 6653, 'ch440': 2949}",605adf49,28:28.7
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E4'}","{'ch583': 7974, 'ch670': 8152, 'ch510': 5144, 'ch410': 693, 'ch620': 10685, 'ch470': 3422, 'ch550': 6946, 'ch440': 3084}",f0092c85,28:54.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E5'}","{'ch583': 8382, 'ch670': 8573, 'ch510': 5413, 'ch410': 733, 'ch620': 11237, 'ch470': 3607, 'ch550': 7315, 'ch440': 3249}",44c6c5bc,29:21.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E6'}","{'ch583': 8538, 'ch670': 8722, 'ch510': 5515, 'ch410': 747, 'ch620': 11455, 'ch470': 3671, 'ch550': 7452, 'ch440': 3317}",338542bc,29:47.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E7'}","{'ch583': 8661, 'ch670': 8838, 'ch510': 5599, 'ch410': 759, 'ch620': 11622, 'ch470': 3731, 'ch550': 7564, 'ch440': 3369}",417bf98c,30:13.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E8'}","{'ch583': 8766, 'ch670': 8926, 'ch510': 5657, 'ch410': 767, 'ch620': 11759, 'ch470': 3773, 'ch550': 7660, 'ch440': 3413}",962b9774,30:39.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E9'}","{'ch583': 8875, 'ch670': 8998, 'ch510': 5715, 'ch410': 775, 'ch620': 11874, 'ch470': 3809, 'ch550': 7751, 'ch440': 3443}",e125846f,31:05.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E10'}","{'ch583': 9067, 'ch670': 9144, 'ch510': 5817, 'ch410': 792, 'ch620': 12116, 'ch470': 3877, 'ch550': 7922, 'ch440': 3497}",83c3f77e,31:31.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E11'}","{'ch583': 9185, 'ch670': 9218, 'ch510': 5857, 'ch410': 797, 'ch620': 12235, 'ch470': 3895, 'ch550': 8014, 'ch440': 3502}",3c2b7fa3,31:58.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'E12'}","{'ch583': 9875, 'ch670': 9707, 'ch510': 6236, 'ch410': 849, 'ch620': 13026, 'ch470': 4128, 'ch550': 8598, 'ch440': 3726}",987d2dac,32:24.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F1'}","{'ch583': 7186, 'ch670': 7202, 'ch510': 4576, 'ch410': 615, 'ch620': 9486, 'ch470': 3028, 'ch550': 6238, 'ch440': 2713}",38c91f81,32:50.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F2'}","{'ch583': 7275, 'ch670': 7350, 'ch510': 4670, 'ch410': 627, 'ch620': 9671, 'ch470': 3099, 'ch550': 6316, 'ch440': 2792}",e2c818d3,33:16.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F3'}","{'ch583': 7442, 'ch670': 7574, 'ch510': 4790, 'ch410': 644, 'ch620': 9931, 'ch470': 3185, 'ch550': 6475, 'ch440': 2866}",ec6af2e7,33:43.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F4'}","{'ch583': 7733, 'ch670': 7894, 'ch510': 4991, 'ch410': 672, 'ch620': 10346, 'ch470': 3318, 'ch550': 6734, 'ch440': 2989}",8badfbd0,34:09.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F5'}","{'ch583': 8125, 'ch670': 8277, 'ch510': 5247, 'ch410': 709, 'ch620': 10884, 'ch470': 3491, 'ch550': 7083, 'ch440': 3147}",4db7b098,34:35.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F6'}","{'ch583': 8255, 'ch670': 8417, 'ch510': 5328, 'ch410': 721, 'ch620': 11067, 'ch470': 3549, 'ch550': 7204, 'ch440': 3201}",dfb0642c,35:01.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F7'}","{'ch583': 8374, 'ch670': 8527, 'ch510': 5407, 'ch410': 733, 'ch620': 11219, 'ch470': 3605, 'ch550': 7313, 'ch440': 3252}",8af721ba,35:28.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F8'}","{'ch583': 8477, 'ch670': 8599, 'ch510': 5466, 'ch410': 743, 'ch620': 11350, 'ch470': 3641, 'ch550': 7404, 'ch440': 3290}",3f5b50d7,35:54.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F9'}","{'ch583': 8595, 'ch670': 8682, 'ch510': 5530, 'ch410': 751, 'ch620': 11493, 'ch470': 3682, 'ch550': 7505, 'ch440': 3326}",6.26E+55,36:20.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F10'}","{'ch583': 8596, 'ch670': 8680, 'ch510': 5505, 'ch410': 748, 'ch620': 11489, 'ch470': 3669, 'ch550': 7512, 'ch440': 3293}",65fe2aa8,36:46.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F11'}","{'ch583': 9082, 'ch670': 9038, 'ch510': 5776, 'ch410': 786, 'ch620': 12051, 'ch470': 3834, 'ch550': 7919, 'ch440': 3453}",3b9d07dc,37:12.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'F12'}","{'ch583': 9606, 'ch670': 9410, 'ch510': 6053, 'ch410': 824, 'ch620': 12646, 'ch470': 4002, 'ch550': 8358, 'ch440': 3608}",5ff708fd,37:39.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G1'}","{'ch583': 6810, 'ch670': 6841, 'ch510': 4342, 'ch410': 583, 'ch620': 8999, 'ch470': 2873, 'ch550': 5914, 'ch440': 2560}",cc8bd351,38:05.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G2'}","{'ch583': 6876, 'ch670': 6956, 'ch510': 4417, 'ch410': 593, 'ch620': 9134, 'ch470': 2932, 'ch550': 5980, 'ch440': 2622}",24628886,38:31.8
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G3'}","{'ch583': 6999, 'ch670': 7130, 'ch510': 4510, 'ch410': 607, 'ch620': 9349, 'ch470': 2999, 'ch550': 6094, 'ch440': 2680}",12def35b,38:58.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G4'}","{'ch583': 7417, 'ch670': 7525, 'ch510': 4778, 'ch410': 642, 'ch620': 9891, 'ch470': 3171, 'ch550': 6463, 'ch440': 2850}",494fd924,39:24.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G5'}","{'ch583': 7642, 'ch670': 7781, 'ch510': 4926, 'ch410': 667, 'ch620': 10231, 'ch470': 3281, 'ch550': 6671, 'ch440': 2941}",4233a5a6,39:50.8
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G6'}","{'ch583': 7713, 'ch670': 7865, 'ch510': 4974, 'ch410': 674, 'ch620': 10334, 'ch470': 3312, 'ch550': 6736, 'ch440': 2966}",9158fb1d,40:17.1
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G7'}","{'ch583': 7811, 'ch670': 7947, 'ch510': 5038, 'ch410': 683, 'ch620': 10460, 'ch470': 3357, 'ch550': 6829, 'ch440': 3011}",2e43467f,40:43.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G8'}","{'ch583': 7867, 'ch670': 7991, 'ch510': 5067, 'ch410': 688, 'ch620': 10534, 'ch470': 3378, 'ch550': 6875, 'ch440': 3025}",cef5c9bc,41:09.7
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G9'}","{'ch583': 8214, 'ch670': 8253, 'ch510': 5275, 'ch410': 717, 'ch620': 10948, 'ch470': 3506, 'ch550': 7176, 'ch440': 3162}",60f1ee27,41:36.0
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G10'}","{'ch583': 8161, 'ch670': 8216, 'ch510': 5223, 'ch410': 712, 'ch620': 10896, 'ch470': 3476, 'ch550': 7141, 'ch440': 3108}",51760848,42:02.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G11'}","{'ch583': 8399, 'ch670': 8388, 'ch510': 5335, 'ch410': 727, 'ch620': 11150, 'ch470': 3540, 'ch550': 7326, 'ch440': 3166}",b711d92c,42:28.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'G12'}","{'ch583': 8897, 'ch670': 8752, 'ch510': 5592, 'ch410': 763, 'ch620': 11730, 'ch470': 3697, 'ch550': 7745, 'ch440': 3302}",1193a471,42:54.8
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H1'}","{'ch583': 6567, 'ch670': 6588, 'ch510': 4167, 'ch410': 560, 'ch620': 8660, 'ch470': 2755, 'ch550': 5700, 'ch440': 2438}",e24c27d5,43:21.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H2'}","{'ch583': 6724, 'ch670': 6764, 'ch510': 4297, 'ch410': 577, 'ch620': 8904, 'ch470': 2850, 'ch550': 5847, 'ch440': 2537}",d00fb8cf,43:47.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H3'}","{'ch583': 6814, 'ch670': 6882, 'ch510': 4364, 'ch410': 589, 'ch620': 9057, 'ch470': 2900, 'ch550': 5934, 'ch440': 2581}",eed74d2c,44:13.8
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H4'}","{'ch583': 7017, 'ch670': 7095, 'ch510': 4497, 'ch410': 608, 'ch620': 9337, 'ch470': 2988, 'ch550': 6119, 'ch440': 2662}",335b272b,44:40.2
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H5'}","{'ch583': 7294, 'ch670': 7372, 'ch510': 4667, 'ch410': 633, 'ch620': 9716, 'ch470': 3103, 'ch550': 6363, 'ch440': 2762}",cd6036bb,45:06.5
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H6'}","{'ch583': 7462, 'ch670': 7528, 'ch510': 4774, 'ch410': 647, 'ch620': 9936, 'ch470': 3176, 'ch550': 6512, 'ch440': 2830}",44d9f49e,45:32.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H7'}","{'ch583': 7505, 'ch670': 7568, 'ch510': 4808, 'ch410': 653, 'ch620': 10006, 'ch470': 3198, 'ch550': 6553, 'ch440': 2853}",95a3ebd6,45:59.3
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H8'}","{'ch583': 7564, 'ch670': 7613, 'ch510': 4841, 'ch410': 657, 'ch620': 10089, 'ch470': 3219, 'ch550': 6609, 'ch440': 2873}",b0fb44dc,46:25.6
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H9'}","{'ch583': 7591, 'ch670': 7625, 'ch510': 4843, 'ch410': 659, 'ch620': 10105, 'ch470': 3216, 'ch550': 6628, 'ch440': 2863}",50bd4ead,46:51.9
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H10'}","{'ch583': 7837, 'ch670': 7817, 'ch510': 4978, 'ch410': 678, 'ch620': 10403, 'ch470': 3305, 'ch550': 6842, 'ch440': 2941}",c716c020,47:18.4
"{'R': 0.0, 'Y': 0.0, 'B': 0.0, 'well': 'H11'}","{'ch583': 8069, 'ch670': 7996, 'ch510': 5102, 'ch410': 696, 'ch620': 10678, 'ch470': 3377, 'ch550': 7038, 'ch440': 3008}",f451b0ed,47:44.7
"{'R': 0, 'Y': 0, 'B': 0, 'well': 'H12'}","{'ch583': 8524, 'ch670': 8324, 'ch510': 5343, 'ch410': 727, 'ch620': 11190, 'ch470': 3526, 'ch550': 7422, 'ch440': 3152}",4124eb87,00:26.0
"{'R': 0, 'Y': 0, 'B': 0, 'well': 'C1'}","{'ch583': 7297, 'ch670': 7361, 'ch510': 4651, 'ch410': 625, 'ch620': 9654, 'ch470': 3082, 'ch550': 6329, 'ch440': 2754}",f0cff20c,06:10.3